来 一 首 周 华 健 的 花 心	v m m nr nr nr uj n n	o o o singer singer singer o song song	O O O B-singer I-singer E-singer O B-song E-song	music.play
播 放 我 们 都 一 样	v v r r d r r	o o song song song song song	O O B-song I-song I-song I-song E-song	music.play
播 放 不 一 样 来 一 首 我 们 不 一 样	v v d r r v m m r r d r r	o o song song song o o o song song song song song	O O B-song I-song E-song O O O B-song I-song I-song I-song E-song	music.play

到 信 阳 市 汽 车 配 件 城	v ns ns ns n n n n n	o o o o o o o o o	O B-destination I-destination I-destination I-destination I-destination I-destination I-destination E-destination	navigation.navigation
米 静	nr nr	o o	O O	OTHERS
信 阳 汽 配 城	n n n n n	o o o o o	B-destination I-destination I-destination I-destination E-destination	navigation.navigation
取 消	v v	o o	O O	navigation.cancel_navigation

播 放 d j 歌 曲	v v eng eng n n	o o theme theme o o	O O B-theme E-theme O O	music.play
播 放 d j	v v eng eng	o o theme theme	O O B-theme E-theme	music.play
播 放 d j	v v eng eng	o o theme theme	O O B-theme E-theme	music.play

请 播 放 z a p p 播 放 听 说 爱 情 回 来 过	v v v eng eng eng eng v v v v n n v v ug	o o o singer singer singer singer o o song song song song song song song	O O O B-singer I-singer I-singer E-singer O O B-song I-song I-song I-song I-song I-song E-song	music.play
播 放 蔡 依 林 我 知 道 你 很 难 过	v v nr nr nr r v v r d v v	o o singer singer singer song song song song song emotion emotion	O O B-singer I-singer E-singer B-song I-song I-song I-song I-song I-song E-song	music.play
拨 通 对 方 电 话	v v n n n n	o o o o o o	O O O O O O	phone_call.make_a_phone_call
播 放 林 忆 莲 的 伤 痕	v v nr nr nr uj n n	o o singer singer singer o song song	O O B-singer I-singer E-singer O B-song E-song	music.play
今 天 天 气 情 况 如 何	i i i i n n r r	song song o o o o o o	O O O O O O O O	OTHERS
我 是 1 个	r v m m	o o o o	O O O O	OTHERS
去 牧 香 自 助 火 锅	v nr nr v v n n	o o o o o o o	O B-destination I-destination I-destination I-destination I-destination E-destination	navigation.navigation
呼 图 壁 县 牧 香 自 助 火 锅	ns ns ns ns nr nr v v n n	o o o o o o o o o o	B-destination I-destination I-destination I-destination I-destination I-destination I-destination I-destination I-destination E-destination	navigation.navigation
先 回 呼 图 壁 县 牧 香 自 助 火 锅	d v ns ns ns ns nr nr v v n n	o o o o o o o o o o o o	O O B-destination I-destination I-destination I-destination I-destination I-destination I-destination I-destination I-destination E-destination	navigation.navigation
呼 图 壁 县 牧 香 自 助 火 锅	ns ns ns ns nr nr v v n n	o o o o o o o o o o	B-destination I-destination I-destination I-destination I-destination I-destination I-destination I-destination I-destination E-destination	navigation.navigation
导 航	v v	o o	O O	navigation.open

开 始 导 航	v v v v	o o o o	O O O O	navigation.start_navigation
去 角 美 南 农 贸 市 场	v ns ns ns n n n n	o o o o o o o o	O B-destination I-destination I-destination I-destination I-destination I-destination E-destination	navigation.navigation
取 消	v v	o o	O O	navigation.cancel_navigation

给 我 来 一 首 追 梦 人	p r v m m v n n	song song o o o song song song	O O O O O B-song I-song E-song	music.play
给 我 来 一 首 追 梦 人	p r v m m v n n	song song o o o song song song	O O O O O B-song I-song E-song	music.play
来 一 首 劲 爆 电 音	v m m a a n n	o o o emotion emotion style style	O O O B-emotion E-emotion B-style E-style	music.play

退 出 音 乐	v v n n	o o o o	O O O O	OTHERS
歌 在 飞	n p n	song song song	B-song I-song E-song	music.play
彭 远 扬 的 歌	nr v v uj n	singer singer singer o o	B-singer I-singer E-singer O O	music.play
彭 丽 媛 的 歌	nr nr nr uj n	singer singer singer o o	B-singer I-singer E-singer O O	music.play

到 邵 伯 镇	v nr nr nr	o o o o	O B-destination I-destination E-destination	navigation.navigation
小 纪 镇	nr nr nr	o o o	B-destination I-destination E-destination	navigation.navigation
